"郑州商品交易所期货持仓排名表(2019-11-18)","","","","","","","","",""
"品种：苹果AP     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"3","国泰君安","66,097","-32,591","华泰期货","38,776","7,799","华泰期货","63,568","1,946"
"4","光大期货","57,897","-21,773","中信期货","31,234","-6,465","中信期货","56,238","-6,665"
"5","海通期货","57,819","-26,501","国泰君安","31,193","380","一德期货","41,363","9,981"
"6","中信期货","56,686","-23,392","华安期货","31,042","2,036","国泰君安","37,682","381"
"7","新湖期货","56,061","-40,629","光大期货","29,225","-12,191","海通期货","37,465","-4,860"
"8","永安期货","49,678","-2,061","徽商期货","28,354","-62","国投安信期货","37,437","-2,335"
"9","东方财富","48,534","-37,329","国投安信期货","24,853","-525","银河期货","28,988","1,214"
"10","徽商期货","47,102","-31,753","银河期货","24,301","-936","中粮期货","22,008","553"
"11","东吴期货","47,066","-10,465","东方财富","23,726","399","浙商期货","20,352","-402"
"12","中辉期货","42,664","-12,123","广发期货","23,400","-115","兴证期货","19,929","912"
"13","华安期货","36,754","-18,059","海通期货","22,777","-6,097","新湖期货","19,783","-11,572"
"14","国贸期货","33,215","-5,142","方正中期","22,343","-17","光大期货","19,267","-13,164"
"15","申银万国","30,572","-12,811","申银万国","22,177","497","方正中期","19,115","2,563"
"16","方正中期","30,104","-17,556","新湖期货","21,627","-12,097","东吴期货","18,291","-1,904"
"17","上海大陆","29,915","-3,457","鲁证期货","19,884","141","东海期货","15,484","-5,258"
"18","一德期货","26,859","-31,184","中信建投","19,459","340","混沌天成期货","14,910","124"
"19","安粮期货","26,305","-2,604","一德期货","17,421","-3,104","中财期货","14,684","1,824"
"20","银河期货","24,806","-13,150","中财期货","17,240","-607","申银万国","14,350","-2,889"
"合计","","1,109,513","-408,143","","571,146","-47,888","","742,551","-43,555"
"品种：菜油OI     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","42,887","-5,407","华泰期货","8,119","-107","中粮期货","27,224","351"
"2","新湖期货","26,440","7,281","永安期货","6,827","-213","国投安信期货","12,636","-3,906"
"3","华泰期货","14,475","1,775","兴证期货","6,706","168","中信期货","11,407","895"
"4","海通期货","13,995","2,441","建信期货","6,673","1,068","兴证期货","8,348","-638"
"5","中信期货","12,494","-1,185","中信期货","5,991","131","安粮期货","7,668","129"
"6","华西期货","11,789","465","一德期货","5,965","-1,137","摩根大通","6,931","311"
"7","光大期货","11,095","83","东证期货","5,891","101","上海中期","6,549","57"
"8","上海中期","8,747","1,676","申银万国","5,829","-1,184","华泰期货","5,967","-14"
"9","国金期货","8,025","3,317","国富期货","5,514","-3,264","光大期货","5,590","230"
"10","国投安信期货","7,589","4,572","银河期货","5,272","276","东证期货","5,535","-8"
"11","东吴期货","7,359","2,091","中信建投","5,008","242","中国国际","4,447","-411"
"12","兴证期货","7,210","3,472","西部期货","4,453","-641","中信建投","4,355","-17"
"13","华安期货","7,208","653","国泰君安","4,209","566","信达期货","4,267","-210"
"14","徽商期货","7,157","855","南华期货","4,017","-1,126","首创期货","3,045","-59"
"15","国富期货","6,461","4,000","中粮期货","3,917","193","先锋期货","2,813","-92"
"16","平安期货","5,268","3,565","光大期货","3,675","-71","新湖期货","2,550","150"
"17","东方财富","4,903","1,195","华安期货","3,557","-474","渤海期货","2,023","434"
"18","永安期货","4,847","1,945","中融汇信","3,412","24","徽商期货","1,949","261"
"19","方正中期","4,340","541","华闻期货","2,904","4","永安期货","1,855","70"
"20","中辉期货","4,183","1,468","长安期货","2,849","48","方正中期","1,565","261"
"合计","","216,472","34,803","","100,788","-5,396","","126,724","-2,206"
"品种：普麦PM     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","申银万国","0","0","中信期货","3","0","申银万国","3","0"
"2","中信期货","0","0","申银万国","0","0","中信期货","0","0"
"合计","","0","0","","3","0","","3","0"
"品种：早籼RI     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东航期货","4","4","中信期货","1","1","江西瑞奇","2","0"
"2","新纪元期货","2","2","中辉期货","1","0","新纪元期货","0","0"
"3","宏源期货","2","2","新纪元期货","0","0","中信期货","0","0"
"4","中信期货","1","1","江西瑞奇","0","0","东航期货","0","0"
"5","华安期货","1","1","东航期货","0","0","中辉期货","0","0"
"6","江西瑞奇","0","0","宏源期货","0","0","宏源期货","0","0"
"7","中辉期货","0","0","华安期货","0","-1","华安期货","0","0"
"合计","","10","10","","2","0","","2","0"
"品种：菜粕RM     日期：2019-11-18","","","","","","","","",""
"名次","会员简称","成交量（手）","增减量","会员简称","持买仓量","增减量","会员简称","持卖仓量","增减量"
"1","东证期货","108,499","-60,289","永安期货","20,534","-1,420","中粮期货","40,155","185"
"2","新湖期货","72,843","-9,354","华泰期货","12,138","-885","中信期货","27,517","-557"
"3","华泰期货","72,640","-7,596","安粮期货","11,765","1,689","华泰期货","16,149","1,097"
