商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,期货公司  ,期货公司  ,239630,-67595,期货公司  ,期货公司  ,267360,4217,期货公司  ,期货公司  ,275383,4149,
商品名称:铜                  ,合约代码:cuall                         ,,,,,,,,,
,非期货公司,非期货公司,2904,-513,非期货公司,非期货公司,12300,-372,非期货公司,非期货公司,4277,-304,
13,0049      ,金瑞期货  ,60,-35,,,,,0249      ,先融期货  ,20,-10,
14,0249      ,先融期货  ,40,40,,,,,0103      ,永安期货  ,5,0,
15,0125      ,中大期货  ,20,20,,,,,,,,,
16,0161      ,招商期货  ,20,10,,,,,,,,,
17,0103      ,永安期货  ,15,5,,,,,,,,,
18,0253      ,华泰期货  ,15,15,,,,,,,,,
19,0058      ,国贸期货  ,5,0,,,,,,,,,
合计:zn1910                        ,,,4390,2195,,,2785,490,,,2785,-630,
RANK1合约代码:zn1911                        ,,,,,,,,,,
1,0253      ,华泰期货  ,28557,-11365,0148      ,中信期货  ,5994,-31,0253      ,华泰期货  ,5636,506,
2,0148      ,中信期货  ,14438,-4443,0103      ,永安期货  ,4797,-898,0148      ,中信期货  ,5426,-525,
3,0163      ,东证期货  ,8192,-6385,0298      ,东方财富  ,4328,-820,0009      ,五矿经易  ,4654,-52,
4,0081      ,海通期货  ,6934,-7085,0308      ,国信期货  ,3961,-232,0277      ,一德期货  ,4119,119,
5,0009      ,五矿经易  ,6443,-5386,0009      ,五矿经易  ,2863,109,0103      ,永安期货  ,3186,-1382,
6,0034      ,方正中期  ,4506,-1770,0253      ,华泰期货  ,2340,267,0139      ,中粮期货  ,2879,187,
7,0004      ,国泰君安  ,3585,-1497,0049      ,金瑞期货  ,1811,47,0272      ,银河期货  ,2325,67,
